county_id,unemployment_rate,icu_beds_count,hospitals_count,medicare_count,income,total_population
1001,2.7,6,1,11439.0,55317,55036
1009,2.6,6,1,13175.0,47412,57667
1017,2.8,0,0,9276.0,37342,33895
1021,2.5,6,1,9785.0,43501,43805
1033,3.7,22,2,14459.0,45477,54435
1045,2.8,6,1,11189.0,44711,49393
1051,2.6,5,2,17880.0,54981,80989
1065,4.0,0,1,4284.0,34679,14995
1079,2.9,6,1,8125.0,43779,33288
1083,2.4,10,1,18356.0,52831,91695
1099,5.1,8,1,5480.0,26036,21745
1107,3.4,4,1,5157.0,36220,20170
1121,3.4,14,2,20236.0,39219,80888
5141,5.9,0,1,5502.0,34428,16751
5145,5.3,13,1,17442.0,44074,78706
6005,4.4,6,1,11896.0,60636,37306
6021,7.0,0,1,5990.0,46260,27935
6033,5.8,8,2,18619.0,40446,64095
6043,6.2,0,1,5179.0,51385,17658
6055,3.2,32,2,31111.0,79637,141005
6089,5.5,81,4,50181.0,47258,178919
6099,6.6,88,5,90037.0,54260,535684
6115,6.9,24,1,13674.0,51776,74644
8003,4.2,6,1,3134.0,36315,16345
8013,2.4,72,5,54866.0,75669,316782
8014,2.6,20,1,11808.0,85639,64283
8025,4.6,0,0,946.0,35292,5514
8031,2.8,227,6,99763.0,60098,678467
8035,2.4,54,3,47655.0,111154,320940
8047,2.2,0,0,1127.0,72544,5793
12083,3.7,110,2,120523.0,41964,343778
12087,2.0,14,3,19255.0,63030,76745
12095,2.8,388,3,199305.0,51586,1290216
12111,3.7,69,2,82496.0,47132,298763
12119,4.6,0,0,76385.0,54771,116754
12125,2.8,0,1,2278.0,37460,15300
13001,3.7,3,1,3904.0,37089,18471
13013,2.9,6,1,13362.0,56119,75099
13029,3.1,0,0,5919.0,68589,34883
13043,2.7,6,1,2452.0,33125,10894
13055,4.9,0,0,5866.0,35718,24880
13059,3.5,104,2,18078.0,34557,123554
13071,3.1,10,2,9533.0,34503,45890
13079,3.6,0,0,2834.0,41032,12385
13091,5.4,6,1,4361.0,35290,21063
13107,4.7,8,1,5162.0,33089,22502
13113,3.0,37,1,24233.0,84861,110306
13123,3.7,0,0,8913.0,46211,29614
8053,3.3,0,0,258.0,53056,820
8057,3.1,0,0,358.0,45994,1372
8059,2.6,94,4,113563.0,75170,564029
8073,3.1,0,1,1126.0,44725,5520
8083,5.6,4,1,6952.0,45645,25770
8095,1.7,0,2,987.0,50076,4327
8105,5.3,0,1,3422.0,38534,11430
8111,3.4,0,0,178.0,46397,569
8123,2.9,26,1,45848.0,66489,285729
9015,4.8,6,2,24285.0,62553,116674
12001,2.7,210,2,45942.0,45478,259865
12013,3.4,0,1,2987.0,36237,14458
12023,3.1,27,2,16625.0,43504,68484
12039,3.9,0,1,10708.0,39830,46113
12055,4.4,38,2,35358.0,36374,100177
12059,3.5,0,1,5142.0,37474,19483
12073,2.8,60,2,46138.0,49941,285890
4003,5.4,12,4,33579.0,47847,126516
4013,3.8,1004,34,706340.0,58580,4155501
5001,3.4,0,2,4512.0,38532,18352
5009,3.6,24,1,10732.0,40727,37212
5019,3.7,0,1,4883.0,37144,22495
5029,4.7,0,1,5367.0,39638,20954
5043,6.0,5,1,3987.0,36092,18620
5051,4.0,41,3,30790.0,41672,97994
5061,3.9,0,1,3281.0,34851,13472
5071,4.5,8,1,6042.0,35758,26155
5085,3.7,0,0,13886.0,57290,71568
5097,5.8,0,0,2773.0,35252,9059
5101,4.3,0,0,2670.0,38134,7898
5111,4.1,0,0,6093.0,37487,24098
5123,5.5,6,1,5303.0,33102,26688
5129,6.1,0,0,2720.0,36716,7925
13309,7.5,0,0,1205.0,28490,7952
13313,4.0,34,1,17985.0,43871,103963
13319,3.7,0,0,2467.0,38711,9147
15009,2.6,20,4,31253.0,72762,164094
16015,5.3,0,0,2311.0,49964,6968
16021,5.3,0,1,3447.0,39512,11323
16045,3.6,0,1,4929.0,42888,16850
16051,2.5,0,0,4260.0,58055,27410
16057,2.5,0,1,6673.0,43310,38697
16067,2.9,0,1,3739.0,48021,20448
16081,2.2,0,1,1560.0,55986,10776
17005,3.2,0,1,3751.0,54393,17034
17009,1.9,0,0,1114.0,56289,6791
17019,2.6,51,2,30378.0,49586,207946
17029,2.8,9,1,10113.0,41907,52540
17035,3.0,0,0,2439.0,50680,10899
17049,2.8,10,1,7636.0,54655,34164
17055,4.4,0,1,10083.0,39454,39302
17065,3.2,0,1,1977.0,47293,8259
18051,2.6,5,1,7150.0,51149,33596
18059,2.8,24,1,15747.0,70973,72776
18069,3.3,0,1,8401.0,50063,36520
18079,3.5,0,1,6343.0,48362,27840
18085,2.9,14,1,16031.0,57190,78720
18095,4.0,21,3,30210.0,45432,129641
18105,3.2,38,2,21989.0,45689,144436
18115,3.4,0,0,1383.0,58359,5911
18125,3.8,0,0,3176.0,50196,12471
18131,3.8,0,1,3179.0,47633,12761
18139,2.8,0,1,3839.0,47955,16765
18153,4.8,4,1,4600.0,45031,20900
18173,2.9,24,2,13206.0,66080,61581
18179,3.0,7,1,6148.0,53038,27832
18183,2.9,0,1,7402.0,57041,33481
19009,2.6,0,1,1604.0,48750,5711
