countyFIPS,unemp,#ICU_beds,#Hospitals,#EligibleforMedicare2018
1001,2.7,6,1,11439.0
1009,2.6,6,1,13175.0
1017,2.8,0,0,9276.0
1021,2.5,6,1,9785.0
1033,3.7,22,2,14459.0
1045,2.8,6,1,11189.0
1051,2.6,5,2,17880.0
1065,4.0,0,1,4284.0
1079,2.9,6,1,8125.0
1083,2.4,10,1,18356.0
1099,5.1,8,1,5480.0
1107,3.4,4,1,5157.0
1121,3.4,14,2,20236.0
5141,5.9,0,1,5502.0
5145,5.3,13,1,17442.0
6005,4.4,6,1,11896.0
6021,7.0,0,1,5990.0
6033,5.8,8,2,18619.0
6043,6.2,0,1,5179.0
6055,3.2,32,2,31111.0
6089,5.5,81,4,50181.0
6099,6.6,88,5,90037.0
6115,6.9,24,1,13674.0
8003,4.2,6,1,3134.0
8013,2.4,72,5,54866.0
8014,2.6,20,1,11808.0
8025,4.6,0,0,946.0
8031,2.8,227,6,99763.0
8035,2.4,54,3,47655.0
8047,2.2,0,0,1127.0
12083,3.7,110,2,120523.0
12087,2.0,14,3,19255.0
12095,2.8,388,3,199305.0
12111,3.7,69,2,82496.0
12119,4.6,0,0,76385.0
12125,2.8,0,1,2278.0
13001,3.7,3,1,3904.0
13013,2.9,6,1,13362.0
13029,3.1,0,0,5919.0
13043,2.7,6,1,2452.0
13055,4.9,0,0,5866.0
13059,3.5,104,2,18078.0
13071,3.1,10,2,9533.0
13079,3.6,0,0,2834.0
13091,5.4,6,1,4361.0
13107,4.7,8,1,5162.0
13113,3.0,37,1,24233.0
13123,3.7,0,0,8913.0
8053,3.3,0,0,258.0
8057,3.1,0,0,358.0
8059,2.6,94,4,113563.0
8073,3.1,0,1,1126.0
8083,5.6,4,1,6952.0
8095,1.7,0,2,987.0
8105,5.3,0,1,3422.0
8111,3.4,0,0,178.0
8123,2.9,26,1,45848.0
9015,4.8,6,2,24285.0
12001,2.7,210,2,45942.0
12013,3.4,0,1,2987.0
12023,3.1,27,2,16625.0
12039,3.9,0,1,10708.0
12055,4.4,38,2,35358.0
12059,3.5,0,1,5142.0
12073,2.8,60,2,46138.0
4003,5.4,12,4,33579.0
4013,3.8,1004,34,706340.0
5001,3.4,0,2,4512.0
5009,3.6,24,1,10732.0
5019,3.7,0,1,4883.0
5029,4.7,0,1,5367.0
5043,6.0,5,1,3987.0
5051,4.0,41,3,30790.0
5061,3.9,0,1,3281.0
5071,4.5,8,1,6042.0
5085,3.7,0,0,13886.0
5097,5.8,0,0,2773.0
5101,4.3,0,0,2670.0
5111,4.1,0,0,6093.0
5123,5.5,6,1,5303.0
5129,6.1,0,0,2720.0
13309,7.5,0,0,1205.0
13313,4.0,34,1,17985.0
13319,3.7,0,0,2467.0
15009,2.6,20,4,31253.0
16015,5.3,0,0,2311.0
16021,5.3,0,1,3447.0
16045,3.6,0,1,4929.0
16051,2.5,0,0,4260.0
16057,2.5,0,1,6673.0
16067,2.9,0,1,3739.0
16081,2.2,0,1,1560.0
17005,3.2,0,1,3751.0
17009,1.9,0,0,1114.0
17019,2.6,51,2,30378.0
17029,2.8,9,1,10113.0
17035,3.0,0,0,2439.0
17049,2.8,10,1,7636.0
17055,4.4,0,1,10083.0
17065,3.2,0,1,1977.0
18051,2.6,5,1,7150.0
18059,2.8,24,1,15747.0
18069,3.3,0,1,8401.0
18079,3.5,0,1,6343.0
18085,2.9,14,1,16031.0
18095,4.0,21,3,30210.0
18105,3.2,38,2,21989.0
18115,3.4,0,0,1383.0
18125,3.8,0,0,3176.0
18131,3.8,0,1,3179.0
18139,2.8,0,1,3839.0
18153,4.8,4,1,4600.0
18173,2.9,24,2,13206.0
18179,3.0,7,1,6148.0
18183,2.9,0,1,7402.0
19009,2.6,0,1,1604.0
19017,2.7,0,2,5530.0
19021,2.2,5,1,3787.0
19031,3.1,0,0,4144.0
19039,3.7,0,1,2171.0
17073,4.3,3,2,11847.0
17077,2.8,21,2,10501.0
17079,3.6,0,0,2306.0
17089,4.1,103,5,81892.0
17103,3.3,6,1,8244.0
17107,3.4,0,1,6147.0
17121,3.6,9,2,9849.0
17129,3.6,0,0,2858.0
17139,2.5,0,0,3280.0
17145,3.8,0,2,4706.0
17155,5.2,0,0,1482.0
17169,3.8,0,1,1668.0
17175,5.1,0,0,1374.0
17179,4.0,8,2,29347.0
17189,2.0,0,1,3282.0
17203,3.1,0,1,8045.0
18009,4.3,0,1,3291.0
18011,2.4,8,1,11098.0
18021,3.8,0,1,6153.0
18033,2.9,8,1,9057.0
13125,4.1,0,0,642.0
